"ID","Field Label","Class Type","GECKO Label","Definition","Comment",,,,,,,,,,,,,,,,,,,
"GCS:OralAgeDentureLower","OralAgeDentureLower","subclass","oral health history","Specifies the age of participant First used Lower Denture",,,,,,,,,,,,,,,,,,,,
"GCS:OralFreqBrushing","OralFreqBrushing","subclass","oral health history","Specifies the participant Brushing Frequency",,,,,,,,,,,,,,,,,,,,
"GCS:OralFoodDiscomfortFlag","OralFoodDiscomfortFlag","subclass","oral health history","Specifies the frequency the participant experienced discomfort while eating food in Past Year",,,,,,,,,,,,,,,,,,,,
"GCS:OralFoodDiscomfortType","OralFoodDiscomfortType","subclass","oral health history","Specifies the food that caused discomfort for the participant",,,,,,,,,,,,,,,,,,,,
"GCS:OralNumTeeth","OralNumTeeth","subclass","oral health history","Specifies the participant Total number of teeth",,,,,,,,,,,,,,,,,,,,
"GCS:OralNumTeethDecayed","OralNumTeethDecayed","subclass","oral health history","Specifies the participant Total number of Decayed teeth",,,,,,,,,,,,,,,,,,,,
"GCS:OralNumTeethMissing","OralNumTeethMissing","subclass","oral health history","Specifies the participant Total number of Missing teeth",,,,,,,,,,,,,,,,,,,,
"GCS:OralNumTeethFilled","OralNumTeethFilled","subclass","oral health history","Specifies the participant Total number of Filled teeth",,,,,,,,,,,,,,,,,,,,
"GCS:OralMucosa","OralMucosa","subclass","oral health history","Specifies the participant Mucosa Status",,,,,,,,,,,,,,,,,,,,
"GCS:TeaTempDegrees","TeaTempDegrees",,"information about diet","Specifies participant consumption of tea temperature","is this diet?",,,,,,,,,,,,,,,,,,,
"GCS:TeaTempDescription","TeaTempDescription",,"information about diet","Specifies participant used tea type",,,,,,,,,,,,,,,,,,,,
"GCS:TeaSteepingTime","TeaSteepingTime",,"information about diet","Specifies the duration between pouring and drinking the tea",,,,,,,,,,,,,,,,,,,,
"GCS:TeaSipOrGulp","TeaSipOrGulp",,"information about diet","Specifies how participant drinks tea",,,,,,,,,,,,,,,,,,,,
"GCS:physactworkallyearflag","physactworkallyearflag","subclass","occupation|physical activity","Working all months of the year?",,,,,,,,,,,,,,,,,,,,
"GCS:physactworkmonths","physactworkmonths","subclass","occupation|physical activity","Number of working months in a year",,,,,,,,,,,,,,,,,,,,
"GCS:physactworkstrenuousflag","physactworkstrenuousflag","subclass","physical activity","Daily intensive physical activity?",,,,,,,,,,,,,,,,,,,,
"GCS:physactworkstrenuousfreq","physactworkstrenuousfreq","subclass","physical activity","Number of working days in a week",,,,,,,,,,,,,,,,,,,,
"GCS:physactworkstrenuoushours","physactworkstrenuoushours","subclass","physical activity","Number of working hours in a day",,,,,,,,,,,,,,,,,,,,
"GCS:physactworkstrenuousyears","physactworkstrenuousyears","subclass","physical activity","Number of entire working years",,,,,,,,,,,,,,,,,,,,
"GCS:physacthouseworkflag","physacthouseworkflag","subclass","physical activity","Doing house work?",,,,,,,,,,,,,,,,,,,,
"GCS:physacthouseworkfreq","physacthouseworkfreq","subclass","physical activity","Number of working days in a week",,,,,,,,,,,,,,,,,,,,
"GCS:physacthouseworkhours","physacthouseworkhours","subclass","physical activity","Number of working hours in a day",,,,,,,,,,,,,,,,,,,,
"GCS:physacthouseworkyears","physacthouseworkyears","subclass","physical activity","Number of entire working years",,,,,,,,,,,,,,,,,,,,
"GCS:physacthouseworkminsduringwork","physacthouseworkminsduringwork","subclass","physical activity","Doing house work: minutes during working times",,,,,,,,,,,,,,,,,,,,
"GCS:physacthouseworkminsnowork","physacthouseworkminsnowork","subclass","physical activity","Doing house work: minutes during leasure times",,,,,,,,,,,,,,,,,,,,
"GCS:physactexmildminsduringwork","physactexmildminsduringwork","subclass","physical activity","Mild exercise such as jogging: minutes during working times",,,,,,,,,,,,,,,,,,,,
"GCS:physactexmildminsnowork","physactexmildminsnowork","subclass","physical activity","Mild exercise such as jogging: minutes during leasure times",,,,,,,,,,,,,,,,,,,,
"GCS:physactexmodminsduringwork","physactexmodminsduringwork","subclass","physical activity","Moderate exercise such as volleyball: minutes during working times",,,,,,,,,,,,,,,,,,,,
"GCS:physactexmodminsnowork","physactexmodminsnowork","subclass","physical activity","Moderate exercise such as volleyball: minutes during leasure times",,,,,,,,,,,,,,,,,,,,
"GCS:physactexstrenminsduringwork","physactexstrenminsduringwork","subclass","physical activity","Intensive exercise such as horse riding: minutes during working times",,,,,,,,,,,,,,,,,,,,
"GCS:physactexstrenminsnowork","physactexstrenminsnowork","subclass","physical activity","Intensive exercise such as horse riding: minutes during leasure times",,,,,,,,,,,,,,,,,,,,
"GCS:physacttvminsduringwork","physacttvminsduringwork","subclass","physical activity","Watching TV, resting, reading: minutes during working times",,,,,,,,,,,,,,,,,,,,
"GCS:physacttvminsnowork","physacttvminsnowork","subclass","physical activity","Watching TV, resting, reading: minutes during leasure times",,,,,,,,,,,,,,,,,,,,
"GCS:Metabolic Equivalent Task","Metabolic Equivalent Task","subclass","physical activity","Energy cost of physical activities defined as the ratio of metabolic rate (and therefore the rate of energy consumption) during a specific physical activity to a reference metabolic rate",,,,,,,,,,,,,,,,,,,,
"GCS:AnimalStartAge_1","AnimalStartAge_1",,"lifestyle and behaviours","Specifies the age of the participants he had contact with animals, first history","not sure if this is correct - do we want to be more specific?",,,,,,,,,,,,,,,,,,,
"GCS:AnimalEndAge_1","AnimalEndAge_1",,"lifestyle and behaviours","Specifies the age of the participants he didn't have contact with animals, first history",,,,,,,,,,,,,,,,,,,,
"GCS:AnimalLevelOfContact_1","AnimalLevelOfContact_1",,"lifestyle and behaviours","The intensity of animal contact, first history",,,,,,,,,,,,,,,,,,,,
"GCS:AnimalType_1","AnimalType_1",,"lifestyle and behaviours","The type of animal, first history",,,,,,,,,,,,,,,,,,,,
"GCS:AnimalStartAge_2","AnimalStartAge_2",,"lifestyle and behaviours","Specifies the age of the participants he had contact with animals, second history",,,,,,,,,,,,,,,,,,,,
"GCS:AnimalEndAge_2","AnimalEndAge_2",,"lifestyle and behaviours","Specifies the age of the participants he didn't have contact with animals, second history",,,,,,,,,,,,,,,,,,,,
"GCS:AnimalLevelOfContact_2","AnimalLevelOfContact_2",,"lifestyle and behaviours","The intensity of animal contact, second history",,,,,,,,,,,,,,,,,,,,
"GCS:AnimalType_2","AnimalType_2",,"lifestyle and behaviours","The type of animal, second history",,,,,,,,,,,,,,,,,,,,
"GCS:AnimalStartAge_3","AnimalStartAge_3",,"lifestyle and behaviours","Specifies the age of the participants he had contact with animals, third history",,,,,,,,,,,,,,,,,,,,
"GCS:AnimalEndAge_3","AnimalEndAge_3",,"lifestyle and behaviours","Specifies the age of the participants he didn't have contact with animals, third history",,,,,,,,,,,,,,,,,,,,
"GCS:AnimalLevelOfContact_3","AnimalLevelOfContact_3",,"lifestyle and behaviours","The intensity of animal contact, third history",,,,,,,,,,,,,,,,,,,,
"GCS:AnimalType_3","AnimalType_3",,"lifestyle and behaviours","The type of animal, third history",,,,,,,,,,,,,,,,,,,,
"GCS:AnimalStartAge_4","AnimalStartAge_4",,"lifestyle and behaviours","Specifies the age of the participants he had contact with animals, fourth history",,,,,,,,,,,,,,,,,,,,
"GCS:AnimalEndAge_4","AnimalEndAge_4",,"lifestyle and behaviours","Specifies the age of the participants he didn't have contact with animals, fourth history",,,,,,,,,,,,,,,,,,,,
"GCS:AnimalLevelOfContact_4","AnimalLevelOfContact_4",,"lifestyle and behaviours","The intensity of animal contact, fourth history",,,,,,,,,,,,,,,,,,,,
"GCS:AnimalType_4","AnimalType_4",,"lifestyle and behaviours","The type of animal, fourth history",,,,,,,,,,,,,,,,,,,,
"GCS:bodyindicessizeage15","bodyindicessizeage15","subclass","anthropometry","The body size participants assume they have had based on pictogram when they were 15 years old",,,,,,,,,,,,,,,,,,,,
"GCS:bodyindicessizeage30","bodyindicessizeage30","subclass","anthropometry","The body size participants assume they have had based on pictogram when they wer3 30 years old",,,,,,,,,,,,,,,,,,,,
"GCS:bodyindicessizenow","bodyindicessizenow","subclass","anthropometry","The body size participants assume they have at the present time based on pictogram",,,,,,,,,,,,,,,,,,,,
"GCS:bodyindicesheight","bodyindicesheight","equivalent","height","Height",,,,,,,,,,,,,,,,,,,,
"GCS:bodyindicesweight","bodyindicesweight","equivalent","weight","Weight",,,,,,,,,,,,,,,,,,,,
"GCS:bodyindiceswaist","bodyindiceswaist","equivalent","waist circumference value","Waist circumference",,,,,,,,,,,,,,,,,,,,
"GCS:bodyindiceships","bodyindiceships","equivalent","hip circumference value","Hip circumference",,,,,,,,,,,,,,,,,,,,
"GCS:BMI","BMI","equivalent","body mass index value","Body mass index",,,,,,,,,,,,,,,,,,,,
"GCS:bpright1sbp","bpright1sbp","subclass","systolic blood pressure value","First measurement of systolic blood pressure from the right arm",,,,,,,,,,,,,,,,,,,,
"GCS:bpright1dbp","bpright1dbp","subclass","diastolic blood pressure value","First measurement ofdiastolic blood pressure from the right arm",,,,,,,,,,,,,,,,,,,,
"GCS:bpright2sbp","bpright2sbp","subclass","systolic blood pressure value","Second measurement of systolic blood pressure from the right arm",,,,,,,,,,,,,,,,,,,,
"GCS:bpright2dbp","bpright2dbp","subclass","diastolic blood pressure value","Second measurement of diastolic blood pressure from the right arm",,,,,,,,,,,,,,,,,,,,
"GCS:bpleft1sbp","bpleft1sbp","subclass","systolic blood pressure value","First measurement of systolic blood pressure from the left arm",,,,,,,,,,,,,,,,,,,,
"GCS:bpleft1dbp","bpleft1dbp","subclass","diastolic blood pressure value","First measurement of diastolic blood pressure from the left arm",,,,,,,,,,,,,,,,,,,,
"GCS:bpleft2sbp","bpleft2sbp","subclass","systolic blood pressure value","Second measurement of systolic blood pressure from the left arm",,,,,,,,,,,,,,,,,,,,
"GCS:bpleft2dbp","bpleft2dbp","subclass","diastolic blood pressure value","Second measurement of diastolic blood pressure from the left arm",,,,,,,,,,,,,,,,,,,,
"GCS:m_sbp","m_sbp","subclass","systolic blood pressure value","Mean systolic blood pressure measured second time",,,,,,,,,,,,,,,,,,,,
"GCS:m_dbp","m_dbp","subclass","diastolic blood pressure value","Mean diastolic blood pressure measured second time",,,,,,,,,,,,,,,,,,,,
"GCS:high_sbp","high_sbp","subclass","systolic blood pressure value","Systolic blood pressure >= 140 mmHg","also high BP",,,,,,,,,,,,,,,,,,,
"GCS:high_dbp","high_dbp","subclass","diastolic blood pressure value","Diastolic blood pressure >= 90 mmHg","also high BP",,,,,,,,,,,,,,,,,,,
"GCS:htndrug","htndrug",,"use of antihypertensive agents","Consumption of any anti-hypertensive medication for more than 6 months",,,,,,,,,,,,,,,,,,,,
"GCS:HTN","HTN",,"diagnosis of hypertension","Being hypertensive",,,,,,,,,,,,,,,,,,,,
"GCS:HTNcat","HTNcat",,"diagnosis of hypertension","Categorization of hypetrension",,,,,,,,,,,,,,,,,,,,
"GCS:preHTN","preHTN",,"diagnosis of hypertension","SBP/DBP >=120/80 AND <140/90","how do we handle prehypertension?",,,,,,,,,,,,,,,,,,,
"GCS:pulse_p","pulse_p",,"calculated blood pressure value","Difference between SBP and DBP",,,,,,,,,,,,,,,,,,,,
"GCS:mean_bp","mean_bp",,"calculated blood pressure value","mean value of SBP and DBP",,,,,,,,,,,,,,,,,,,,
"GCS:mid_bp","mid_bp",,"calculated blood pressure value","Mid value of SBP and DBP",,,,,,,,,,,,,,,,,,,,
"GCS:diffsbp_right_left","diffsbp_right_left",,"systolic blood pressure value","Difference in SBP between arms",,,,,,,,,,,,,,,,,,,,
"GCS:diffdbp_right_left","diffdbp_right_left",,"diastolic blood pressure value","Difference in DBP between arms",,,,,,,,,,,,,,,,,,,,
"GCS:Energy","Energy",,"information about diet","Amount consumed per day","do we want to be more specific?",,,,,,,,,,,,,,,,,,,
"GCS:fat","fat",,"information about diet","Amount consumed per day",,,,,,,,,,,,,,,,,,,,
"GCS:salt","salt",,"information about diet","Amount consumed per day",,,,,,,,,,,,,,,,,,,,
"GCS:protein","protein",,"information about diet","Amount consumed per day",,,,,,,,,,,,,,,,,,,,
"GCS:total saturated fat","total saturated fat",,"information about diet","Amount consumed per day",,,,,,,,,,,,,,,,,,,,
"GCS:total trans fat","total trans fat",,"information about diet","Amount consumed per day",,,,,,,,,,,,,,,,,,,,
"GCS:hydrogenated oil","hydrogenated oil",,"information about diet","Amount consumed per day",,,,,,,,,,,,,,,,,,,,
"GCS:carbohyderate","carbohyderate",,"information about diet","Amount consumed per day",,,,,,,,,,,,,,,,,,,,
"GCS:red meat","red meat",,"information about diet","Amount consumed per day",,,,,,,,,,,,,,,,,,,,
"GCS:processed meat","processed meat",,"information about diet","Amount consumed per day",,,,,,,,,,,,,,,,,,,,
"GCS:fruits","fruits",,"information about diet","Amount consumed per day",,,,,,,,,,,,,,,,,,,,
"GCS:vegetables","vegetables",,"information about diet","Amount consumed per day",,,,,,,,,,,,,,,,,,,,
"GCS:dairy products","dairy products",,"information about diet","Amount consumed per day",,,,,,,,,,,,,,,,,,,,
"GCS:milk","milk",,"information about diet","Amount consumed per day",,,,,,,,,,,,,,,,,,,,
"GCS:dietary fiber","dietary fiber",,"information about diet","Amount consumed per day",,,,,,,,,,,,,,,,,,,,
"GCS:Fish","Fish",,"information about diet","Amount consumed per day",,,,,,,,,,,,,,,,,,,,
"GCS:Chicken","Chicken",,"information about diet","Amount consumed per day",,,,,,,,,,,,,,,,,,,,
"GCS:SodiumNa","SodiumNa",,"information about diet","Amount consumed per day",,,,,,,,,,,,,,,,,,,,
"GCS:Calcium","Calcium",,"information about diet","Amount consumed per day",,,,,,,,,,,,,,,,,,,,
"GCS:Fe","Fe",,"information about diet","Amount consumed per day",,,,,,,,,,,,,,,,,,,,
"GCS:Magnesium","Magnesium",,"information about diet","Amount consumed per day",,,,,,,,,,,,,,,,,,,,
"GCS:Phosphorus","Phosphorus",,"information about diet","Amount consumed per day",,,,,,,,,,,,,,,,,,,,
"GCS:Potassium","Potassium",,"information about diet","Amount consumed per day",,,,,,,,,,,,,,,,,,,,
"GCS:Zinc","Zinc",,"information about diet","Amount consumed per day",,,,,,,,,,,,,,,,,,,,
"GCS:Folate","Folate",,"information about diet","Amount consumed per day",,,,,,,,,,,,,,,,,,,,
"GCS:Vitamin D","Vitamin D",,"information about diet","Amount consumed per day",,,,,,,,,,,,,,,,,,,,
"GCS:Vitamin A","Vitamin A",,"information about diet","Amount consumed per day",,,,,,,,,,,,,,,,,,,,
"GCS:Vitamin B1","Vitamin B1",,"information about diet","Amount consumed per day",,,,,,,,,,,,,,,,,,,,
"GCS:Vitamin B2","Vitamin B2",,"information about diet","Amount consumed per day",,,,,,,,,,,,,,,,,,,,
"GCS:Vitamin B12","Vitamin B12",,"information about diet","Amount consumed per day",,,,,,,,,,,,,,,,,,,,
"GCS:Vitamin C","Vitamin C",,"information about diet","Amount consumed per day",,,,,,,,,,,,,,,,,,,,
"GCS:Niacin","Niacin",,"information about diet","Amount consumed per day",,,,,,,,,,,,,,,,,,,,
"GCS:Glycemic load","Glycemic load",,"information about diet","Amount consumed per day",,,,,,,,,,,,,,,,,,,,
"GCS:Glycemic Index","Glycemic Index",,"information about diet","Amount consumed per day",,,,,,,,,,,,,,,,,,,,
"GCS:Sugar intake","Sugar intake",,"information about diet","Amount consumed per day",,,,,,,,,,,,,,,,,,,,
"GCS:Nuts","Nuts",,"information about diet","Amount consumed per day",,,,,,,,,,,,,,,,,,,,
"GCS:tea","tea",,"information about diet","Amount consumed per day",,,,,,,,,,,,,,,,,,,,
"GCS:Coffee","Coffee",,"information about diet","Amount consumed per day",,,,,,,,,,,,,,,,,,,,
"GCS:fbg","fbg","equivalent","blood fasting glucose level value","Fasting Blood Glucose",,,,,,,,,,,,,,,,,,,,
"GCS:urea","urea",,,"Urea",,,,,,,,,,,,,,,,,,,,
"GCS:creatinine","creatinine",,,"Creatinine",,,,,,,,,,,,,,,,,,,,
"GCS:cholesterol","cholesterol",,,"Total Cholesterol",,,,,,,,,,,,,,,,,,,,
"GCS:triglycerides","triglycerides",,,"Triglycerides",,,,,,,,,,,,,,,,,,,,
"GCS:hdl","hdl",,,"High Density Lipoprotein",,,,,,,,,,,,,,,,,,,,
"GCS:ast","ast",,,"Aspartate Transaminase",,,,,,,,,,,,,,,,,,,,
"GCS:alt","alt",,,"Alanine Transaminase",,,,,,,,,,,,,,,,,,,,
"GCS:alkalinep","alkalinep",,,"Alkaline Phosphatase",,,,,,,,,,,,,,,,,,,,
"GCS:ldl","ldl",,,"Low Density Lipoprotein",,,,,,,,,,,,,,,,,,,,
"GCS:ldlhdl","ldlhdl",,,"LDL to HDL ratio",,,,,,,,,,,,,,,,,,,,
"GCS:gamma","gamma",,,"Gamma Glutamyle Transpeptidase",,,,,,,,,,,,,,,,,,,,
"GCS:hbsag","hbsag",,,"HBsAg",,,,,,,,,,,,,,,,,,,,
"GCS:hbsab","hbsab",,,"HBsAb",,,,,,,,,,,,,,,,,,,,
"GCS:hbcab","hbcab",,,"HBcAb",,,,,,,,,,,,,,,,,,,,
"GCS:hbv","hbv",,,"HBV DNA",,,,,,,,,,,,,,,,,,,,
"GCS:hcv","hcv",,,"HCV Antibody",,,,,,,,,,,,,,,,,,,,
"GCS:wbc","wbc",,,"White Blood Cell",,,,,,,,,,,,,,,,,,,,
"GCS:rbc","rbc",,,"Red Blood Cell",,,,,,,,,,,,,,,,,,,,
"GCS:hb","hb",,,"Hemoglobin",,,,,,,,,,,,,,,,,,,,
"GCS:hct","hct",,,"Hematocrit",,,,,,,,,,,,,,,,,,,,
"GCS:plt","plt",,"plateletcrit value","Platelet","maybe? not sure if this is the same",,,,,,,,,,,,,,,,,,,
"GCS:mcv","mcv",,,"Mean Corpuscular Volume",,,,,,,,,,,,,,,,,,,,
"GCS:mch","mch",,,"Mean Corpuscular Hemoglobin",,,,,,,,,,,,,,,,,,,,
"GCS:mchc","mchc",,,"Mean Corpuscular Hemoglobin Concentration",,,,,,,,,,,,,,,,,,,,
"GCS:rdw","rdw","equivalent","red blood cell distribution width value","Red Cell Distribution Width",,,,,,,,,,,,,,,,,,,,
"GCS:BloodType","BloodType","equivalent","blood type determination value","Specifies patient Blood Group",,,,,,,,,,,,,,,,,,,,
"GCS:Rh","Rh","equivalent","rheumatoid factor measurement value","Specifies patient Blood Rh",,,,,,,,,,,,,,,,,,,,
"GCS:BioSampHairAvailFlag","BioSampHairAvailFlag",,,"if patient has hair sample select YES if not Selct No",,,,,,,,,,,,,,,,,,,,
"GCS:BioSampNailAvailFlag","BioSampNailAvailFlag",,,"if patient has nail sample select YES if not Selct No",,,,,,,,,,,,,,,,,,,,
"GCS:BioSampBloodAvailFlag","BioSampBloodAvailFlag","equivalent","blood","if patient has Blood sample select YES if not Selct No",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
