Term ID	Label	Parent Term	Definition	GECKO Category	Suggested Categories	Comment
GE:ic_modality_desc	Modality		Based on Modality categories derived from submitted NICIP or SNOMED-CT codes	survey administration			
GE:ic_modality_id	Modality ID	Modality	Broad categories represented by an ID, grouping procedures or methods used for examination that may include procedures assisted by the method, e.g. biopsy or injection. These categories are derived from submitted NICIP or SNOMED-CT codes.	unique identifiers		IDs that group procedures and methods	
GE:ic_morph_desc	Morphology		Descriptive categorisation of imaging by morphology, based on Morphology ID categorisation of submitted NICIP or SNOMED-CT codes.	survey administration			
GE:ic_morphology_id	Morphology ID	Morphology	Based on submitted NICIP or SNOMED-CT codes and represented by an ID number, Morphology ID provides categorisation of imaging conducted on morphologic abnormalities (alterations of the body structure from its original anatomical structure)	unique identifiers		categorizes imaging conducted on abnormalities	
GE:organisation	Organisation			survey administration			
GE:gppracro	Regional Office area where patient‚Äö√Ñôs GP was registered	Organisation	Provides the Regional Office area in which the patient's GP is registered.|Provides the Regional Office area in which the patient‚Äö√Ñôs GP is registered.	location		where GP is registered	
GE:ic_prov_orgcode	Organisation Code	Organisation	The organisation code of the organisation that submitted the record of the imaging event to DID, taken from Submitter Code attached to each record	survey administration		organization that submitted imaging record	
GE:ic_submit_orgcode	Organisation Code	Organisation	The organisation code of the organisation that submitted the record of the imaging event to DID, taken from Submitter Code attached to each record	survey administration		organization that submitted imaging record	
GE:ic_submit_orgname	Organisation Name	Organisation	Descriptive field, based on the Organisation Code, which returns the organisation name which submitted the associated imaging event record to DID.	survey administration		organization that submitted imaging record	
GE:pcgcode	Primary care group	Organisation	A derived field providing the Primary Care Group responsible for the patient.	survey administration		PCG responsible for patient	
GE:pgpprac	Pseudonymised code of GP practice	Organisation	A pseudonymised version of the code of a patient's registered GP practice (registered GMP). Please note that the registered GP may not be the same as the referring GP (See Preferrer). The Code of GP Practice (Gpprac) field contains the actual practice code.	physician/practitioner info		registered GP	
GE:procode5	Provider code (5 character)	Organisation	"The organisation code of the organisation acting as the health care provider. This
 field contains the provider code (PROCODE) to 5-characters. Where the field PROCODE contains a 3-character code, it will be padded to the right with additional zeros in this field.
 Note that details of the site code can be found in the field 'site code of treatment' (SITETRET).|The organisation code of the organisation acting as the health care provider. This field contains the provider code (PROCODE) to 5-characters. Where the field PROCODE contains a 3-character code, it will be padded to the right with additional zeros in this field.
 Note that details of the site code can be found in the field 'site code of treatment' (SITETRET)."	physician/practitioner info		code of organization acting as health care provider	
GE:csnum	Commissioning serial number	Organisation	Contains the commissioning serial number (used in HES to identify OATs - Out of Area Treatments). This is a number used to uniquely identify a NHS SERVICE AGREEMENT by an ORGANISATION acting as commissioner of patient care services.	survey administration		identifies an NHS service agreement	
GE:purcode	Commissioner code	Organisation	This field contains a code for the organisation commissioning the patient's health care.	survey administration		code of organization comissioning patient's care	
GE:purro	Commissioner's Regional Office	Organisation	"This field contains a code which identifies the Regional Office (RO) in which the commissioner is located. It is derived from the purcode field. 
 
 The codes include those used in 1995-96 and those used subsequently. There were alterations to the codes from April 1996 and April 1999 to reflect changes in the regional organisation."	survey administration		location of commissioner	
GE:purstha	Commissioner's Strategic Health Authority	Organisation	"This field contains a code which identifies the strategic health authority (SHA) in which the commissioner is located. It is derived from the purcode field.
 
 
 
 In 2013 following a reorganisation of health areas, Strategic Health Authorities were abolished. This field has continued to be derived after this date as a 'frozen' geography."	survey administration		location of commissioner (SHA)	
GE:purval	Commissioner code status	Organisation	A derived field that indicates whether the commissioner code (purcode) is one that is recognised throughout the NHS. If not, the code may have been agreed locally between the hospital provider and the health care purchaser.	survey administration		if commissioner's code is recognized by NHS	
GE:gppracha	Health Authority area where patient's GP is registered	Organisation	"Provides the Health authority area in which the patient‚Äö√Ñôs GP is registered.
 
 
 
 In 2002 following a reorganisation of health areas, Health Authorities were replaced by Strategic Health Authorities. This field has continued to be derived after this date as a ‚Äö√Ñ√≤frozen‚Äö√Ñô geography."	physician/practitioner info			
GE:organisation_data	Organisation Data			survey administration			
GE:pctcode02	PCT of responsibility (2002)	Organisation Data	"A derived field providing the primary care trust responsible for the patient, based on 2002-03 PCT boundaries. Commissioning responsibility for individual patients rests with the primary care trust (PCT) with whom the patient is registered. This means that patients with a GP in one PCT area may reside in a neighbouring or other area but remain the responsibility of the PCT with whom their GP of registration is associated. PCTs are also responsible for non-registered patients who are resident within their boundaries.
 
 
 
 The PCT structure used by this field was superseded in 2006 - the code representing the PCTs that were in place after this restructure can be found in the field PCTCODE06."	survey administration		primary care trust responsible for patient (location where GP is registered, not where patient lives)	
GE:procode	Provider Code	Organisation Data|Appointments	"The organisation code of the organisation acting as the health care provider. 
 
 
 
 NHS organisations are allocated a main 3-character code, however this field may contain the 3-character organisation code or a full 5-character code (e.g. a site code, a HQ code ending 01 etc.). Independent providers will always be represented in this field by a 5-character code. Users wishing to group data at 3-character level (which will identify an individual organisation - e.g. NHS Trust) may wish to use the field PROCODE3. 
 
 
 
 Note that details of the site code can be found in the field 'site code of treatment' (SITETRET)."	survey administration		code of organization acting as health care provider	
GE:gpprstha	Strategic Health Authority area where patient‚Äö√Ñôs GP was registered	Organisation|Organisation Data	"Provides the Strategic Health Authority (SHA) area in which the patient's GP is registered.
 
 
 
 In 2013 following a reorganisation of health areas, Strategic Health Authorities were abolished. This field has continued to be derived after this date as a 'frozen' geography."	physician/practitioner info		location of GP (SHA)	
GE:gpprpct	Primary Care Trust area where patient‚Äö√Ñôs GP was registered	Organisation|Organisation Data	"This field gives details of the primary care trust area in which the patient's GP is registered. 
 
 
 
 In 2013 following a reorganisation of health areas, Primary Care Trusts were abolished. This field has continued to be derived after this date as a 'frozen' geography.|Provides the primary care trust area in which the patient‚Äö√Ñôs GP is registered.
 
 
 
 In 2013 following a reorganisation of health areas, Primary Care Trusts were abolished. This field has continued to be derived after this date as a 'frozen' geography.|The primary care trust (PCT) area in which the patient's GP is registered. 
 
 
 
 In 2013 following a reorganisation of health areas, Primary Care Trusts were abolished. This field has continued to be derived after this date as a 'frozen' geography."	physician/practitioner info		location of GP (PCT)	
GE:procode3	Provider code (3 character)	Organisation|Organisation Data	The organisation code of the organisation acting as the health care provider. This field contains the first 3-characters of the provider code (PROCODE) field, which can be used to identify an individual provider (e.g. NHS Trust or PCT* (*before April 2013)).	physician/practitioner info			
GE:procodet	Provider code of treatment	Organisation|Organisation Data	"This field gives a combination of 3-character and 5-character provider codes. Procodet enables you to view a combined list of codes, and related data, from: 
 
 1. Primary care trusts (3 character, beginning with 5) 
 
 2. NHS trusts (3 character, beginning with R or T. Trusts with associated treatment centres will have an '- X' following their code) 
 
 3. NHS trust treatment centres (5 character; listed separately to the NHS trusts) 
 
 4. Independent providers (5 character, beginning with 8) 
 
 5. Independent sector healthcare providers (5 character, beginning with N or A) 
 
 For 3-character codes only see procode (provider code (3 character)) and for 5-character codes only see procode5 (provider code (5 character)).|The organisation code of the organisation acting as the health care provider. 
 
 
 
 NHS organisations are allocated a main 3-character code, however this field may contain the 3-character organisation code or a full 5-character code (e.g. a site code, a HQ code ending 01 etc.). Independent providers will always be represented in this field by a 5-character code. Users wishing to group data at 3-character level (which will identify an individual organisation - e.g. NHS Trust) may wish to use the field PROCODE3. 
 
 
 
 Note that details of the site code can be found in the field 'site code of treatment' (SITETRET)."	survey administration		combo of 3 and 5 character codes	
GE:protype	Provider type	Organisation|Organisation Data	Healthcare provider type|The organisation code of the organisation acting as the health care provider. This field contains the first 3-characters of the provider code (PROCODE) field, which can be used to identify an individual provider (e.g. NHS Trust or PCT* (*before April 2013)).	survey administration		provdier type of organization	
GE:pctcode06	PCT of responsibility (2006)	Organisation|System Data|Organisation Data	"A derived field providing the primary care trust responsible for the patient, based on 2006-07 PCT boundaries. Commissioning responsibility for individual patients rests with the primary care trust (PCT) with whom the patient is registered. This means that patients with a GP in one PCT area may reside in a neighbouring or other area but remain the responsibility of the PCT with whom their GP of registration is associated. PCTs are also responsible for non-registered patients who are resident within their boundaries. 
 
 
 
 In 2013 following a reorganisation of health areas, Primary Care Trusts were abolished. This field has continued to be derived after this date as a 'frozen' geography."	survey administration		primary care trust responsible for patient (location where GP is registered, not where patient lives)	
GE:practitioner_data	Practitioner data			physician/practitioner info			
GE:patient_data	Patient Data			socio-demographic and economic characteristics			
GE:admincat	ADMINCAT	Patient Data	Administrative category on admission.	survey administration		what kind of patient (NHS, private, amenity, category II)	
GE:admincatst	Admin category at start of episode	Patient Data		survey administration			
GE:apptage	Age on day of appointment	Patient Data	"This field is derived in HES as the patient's age in whole completed years, calculated from appointment date (apptdate) and date of birth (dob).
 
 
 
 For patients under 1 year old, special codes in the range 7001 to 7007 apply."	age/birthdate			
GE:apptage_calc	Age on arrival - babies decimalised	Patient Data	Arrival age (ARRIVALAGE), with decimalised values for babies.	age/birthdate			
GE:arrivalage	Age on arrival	Patient Data	"This field is derived in HES as the patient's age in whole completed years, calculated from the arrival date (arrivaldate) and date of birth (dob).
 
 
 
 For patients under 1 year old, special codes in the range 7001 to 7007 apply."	age/birthdate			
GE:arrivalage_calc	Age on arrival - babies decimalised	Patient Data	Arrival age (ARRIVALAGE), with decimalised values for babies.	age/birthdate			
GE:category	Administrative & legal status of patient	Patient Data	Many NHS hospitals have private wards where private patients may use the accommodation and services of the hospital provider. Some hospitals also provide amenity beds, usually located in small side wards for which a charge is made for the accommodation. Both of these categories of patient are defined by the NHS Act of 1977. Any categories of patient, whether NHS, private or amenity patients, can be formally detained under the provisions of the Mental Health Act 1983 and other legislation. Most patients in NHS hospitals or hospital units will come under category 10 (see below). Access to this field requires the approval of Data Access Advisory Group (DAAG).	survey administration		patient formally detained? e.g. psychiatric	
GE:startage	Age at start of episode	Patient Data	This derived field, calculated from episode start date (epistart) and date of birth (dob), contains the patient's age in whole years (From 1 to 115 (1990-91 to 1994-95) and from 1 to 120 (1995-96 onwards)). For patients under 1 year old, special codes in the range 7001 to 7007 apply.	age/birthdate			
GE:startage_calc	Age at start of episode - babies decimalised	Patient Data	Age at start of the episode (STARTAGE), with decimalised values for babies.	age/birthdate			
GE:newnhsno_check	NHS Number valid flag	Patient Data	This field indicates whether the NHS Number supplied is valid or not.	survey administration			
GE:ethrawl	Ethnic category (audit version)	Patient Data	Ethnic category is supplied by the trusts as a two-character field. Ethrawl contains the right-hand character. The left-hand character should contain the national code. A copy of the raw data found in the left hand character is held in ethraw.	ethnicity/race			
GE:pcfound	Postcode Found	Patient Data	This field indicates whether the postcode in the field homeadd is valid or not.	survey administration			
GE:postdist	Postcode district	Patient Data	"Contains the outward portion of the patient's postcode (ie all characters to the left of the space). The code ZZ99 indicates the postcode was either unavailable, or that the patient did not have one (eg because they were normally resident abroad).|This field is derived from the hospital provider code (procode). It indicates the PCT area of the main provider of treatment. Note that the PCT itself may be the provider of treatment.
 
 Note: This field was formerly known as ‚Äö√Ñ√∫Primary care trust area of treatment‚Äö√Ñù.
 
 
 
 In 2013 following a reorganisation of health areas, Primary Care Trusts were abolished. This field has continued to be derived after this date as a 'frozen' geography."	residence			
GE:activage	Age at activity date	Patient Data	The patient's age, in years, at the time of activity, such as admission, discharge or birth.|Age, in years, at CDS activity date, i.e. the arrival date.	age/birthdate			
GE:admiage	Age on admission	Patient Data	A patient's age, in years, at the date of admission.	age/birthdate			
GE:endage	Age at end of episode	Patient Data	"This derived field contains the patient's age in whole years at the end of a finished episode (from 1 to 115 (1990-91 to 1994-95) and from 1 to 120 (1995-96 onwards)). It is calculated from the episode end date (epiend) and the patient's date of birth (dob).
 
 
 
 For unfinished episodes it is calculated using the period end date, i.e. 31st March, instead of epiend. For patients under one year old, special codes apply.
 
 
 
 The patient's age in years at the end of an episode is only relevant for General, Delivery or
 
 Birth records. It is recorded as a whole number of years (i.e. any days or months produced
 
 by the calculation are ignored, unless endage is less than 1 year)."	age/birthdate			
GE:ethnos	Ethnic category	Patient Data	"The ethnicity of the patient, as specified by the patient.
 
 
 
 From April 2001 the codes were changed to represent the ethnic data categories as defined in the 2001 census. However, HES continued to accept the old codes as well as the new codes for the 2001-02 and 2002-03 data years.|The ethnicity of the patient, as specified by the patient. This field uses the ethnic data categories as defined in the 2001 census.
 
 
 
 Note that ETHNOS is very poorly populated on activity prior to the 2011-12 data year."	ethnicity/race			
GE:dob	Date of birth - patient	Patient Data|Appointments	The patient's date of birth. This field contains sensitive data. Access to it requires the approval of The Independent Group Advising on the Release of Data (IGARD).|The patient's year of birth	age/birthdate			
GE:sex	Sex of patient	Patient Data|Appointments	"Defines the sex of the patient. The classification is phenotypical rather than genotypical, i.e. it does not provide codes for medical or scientific purposes.
 
 Notes:
 
 ‚Äö√Ñ¬¢ National Code 'Not Known' means that the sex of a person has not been recorded
 
 ‚Äö√Ñ¬¢ National Code 'Not Specified' means indeterminate, i.e. unable to be classified as either male or female.|Defines the sex of the patient. The classification is phenotypical rather than genotypical, i.e. it does not provide codes for medical or scientific purposes.
 Notes:
 0= National Code 'Not Known' means that the sex of a person has not been recorded
 9=National Code 'Not Specified' means indeterminate, i.e. unable to be classified as either male or female."	biological sex			
GE:patient_pathway	Patient Pathway			survey administration			
GE:earldatoff	Earliest reasonable date offered	Patient Pathway	"The date of the earliest of the reasonable offers made to a patient for an
 appointment or elective admission (a reasonable offer would include the offer of an appointment or admission for a time and date three or more weeks from the time that the offer was made; the patient accepting an appointment or admission date; the offer of a first appointment in a genitourinary consultant clinic in a sexual health and HIV episode; the offer of any appointment for treatment in a cancer treatment period).
 If the patient cancels or does not attend an appointment or admission, EARLDATOFF for the rearranged appointment or admission will be the earliest reasonable offer date of the cancelled appointment or admission.
 If the health care provider cancels and re-arranges the appointment or admission, EARLDATOFF for the re-arranged appointment or admission will be the date of the earliest reasonable offer made following the cancellation.
 This field should only be recorded if the patient has declined at least two reasonable offers, and a patient pause is to be applied to a Referral to Treatment period by the Secondary Uses Service.|The date of the earliest of the reasonable offers made to a patient for an appointment or elective admission (a reasonable offer would include the offer of an appointment or admission for a time and date three or more weeks from the time that the offer was made; the patient accepting an appointment or admission date; the offer of a first appointment in a genitourinary consultant clinic in a sexual health and HIV episode; the offer of any appointment for treatment in a cancer treatment period).
 If the patient cancels or does not attend an appointment or admission, EARLDATOFF for the rearranged appointment or admission will be the earliest reasonable offer date of the cancelled appointment or admission.
 If the health care provider cancels and re-arranges the appointment or admission, EARLDATOFF for the re-arranged appointment or admission will be the date of the earliest reasonable offer made following the cancellation.
 This field should only be recorded if the patient has declined at least two reasonable offers, and a patient pause is to be applied to a Referral to Treatment period by the Secondary Uses Service."	date and time-related information		earliest date for appointment or admission - date and time-related or timeline?	
GE:waiting	Days waiting	Patient Pathway	‚ÄòWaiting’ gives the period in days between the date of the appointment date and either the referral request received date (reqdate) or the DNA (did not attend) date, if given. If the calculation returns a negative the waiting time is set as null. Waiting time is not calculated if reqdate is missing or invalid. (Waitind (see below) indicates how and whether waiting time has been calculated.) Note: As records can relate to DNAs, it is possible to have a waiting time for the record even where the patient didn’t attend.	date and time-related information			
GE:waitlist	Method of Admission - Waiting List	Patient Pathway	Calculation determining patients whose method of admission was from the waiting list	survey administration			
GE:rttperend	RTT period end date	Patient Pathway	"The end date of a referral to treatment period.
 Referral to Treatment Period End Date will be one of the following:
 The activity date:
 - when the Patient is admitted for First Definitive Treatment. If the start of a Patient's treatment is cancelled (by the Health Care Provider or Patient) after admission, the Referral to Treatment Period will continue.
 - for First Definitive Treatment undertaken in an outpatient setting.
 - for First Definitive Treatment undertaken by an NHS Allied Health Professional Service (Referral to Treatment Measurement).
 - when the decision not to treat is made, with no further action at this time communicated to the Patient. This will include Discharge after Patient did not Attend and discharge back to primary care for treatment.
 - when the Patient declines offered treatment.
 - when the Patient did not attend for the first activity during a Referral to Treatment Period. See Referral to Treatment Period for guidance on Patients who do not attend.
 - the clinical decision is made (and agreed with the Patient) that Active Monitoring will begin. If a Patient subsequently requires further treatment this decision would start a new Referral to Treatment Period as part of the same Patient pathway. This includes any treatment that is planned for a specific date in the future as ongoing monitoring.
 - a clinical decision is made and has been communicated to the Patient, and subsequently their General Practitioner and/or other referring care professional without undue delay, to add the Patient to a transplant list.
 or
 - the person death date.
 In the event that a Patient is booked into the wrong clinic and needs to be re- referred to the right one, this will not end the Referral to Treatment Period or restart it. The start of the Referral to Treatment Period is still the original referral request received date.|The end date of a referral to treatment period.In the event that a Patient is booked into the wrong clinic and needs to be re- referred to the right one, this will not end the Referral to Treatment Period or restart it. The start of the Referral to Treatment Period is still the original referral request received date.
 Referral to Treatment Period End Date will be one of the following: The activity date:
 - when the Patient is admitted for First Definitive Treatment. If the start of a Patient's treatment is cancelled (by the Health Care Provider or Patient) after admission, the Referral to Treatment Period will continue.
 - for First Definitive Treatment undertaken in an outpatient setting.
 - for First Definitive Treatment undertaken by an NHS Allied Health Professional Service (Referral to Treatment Measurement).
 - when the decision not to treat is made, with no further action at this time communicated to the Patient. This will include Discharge after Patient did not Attend and discharge back to primary care for treatment.
 - when the Patient declines offered treatment.
 - when the Patient did not attend for the first activity during a Referral to Treatment Period. See Referral to Treatment Period for guidance on Patients who do not attend.
 - the clinical decision is made (and agreed with the Patient) that Active Monitoring will begin. If a Patient subsequently requires further treatment this decision would start a new Referral to Treatment Period as part of the same Patient pathway. This includes any treatment that is planned for a specific date in the future as ongoing monitoring.
 - a clinical decision is made and has been communicated to the Patient, and subsequently their General Practitioner and/or other referring care professional without undue delay, to add the Patient to a transplant list.
 or
 - the person death date.|The end date of a referral to treatment period.
 
 Referral to Treatment Period End Date will be one of the following:
 
 The activity date: 
 
 - when the Patient is admitted for First Definitive Treatment. If the start of a Patient's treatment is cancelled (by the Health Care Provider or Patient) after admission, the Referral to Treatment Period will continue.
 
 - for First Definitive Treatment undertaken in an outpatient setting.
 
 - for First Definitive Treatment undertaken by an NHS Allied Health Professional Service (Referral to Treatment Measurement).
 
 - when the decision not to treat is made, with no further action at this time communicated to the Patient. This will include Discharge after Patient did not Attend and discharge back to primary care for treatment.
 
 - when the Patient declines offered treatment.
 
 - when the Patient did not attend for the first activity during a Referral to Treatment Period. See Referral to Treatment Period for guidance on Patients who do not attend.
 
 - the clinical decision is made (and agreed with the Patient) that Active Monitoring will begin. If a Patient subsequently requires further treatment this decision would start a new Referral to Treatment Period as part of the same Patient pathway. This includes any treatment that is planned for a specific date in the future as ongoing monitoring.
 
 - a clinical decision is made and has been communicated to the Patient, and subsequently their General Practitioner and/or other referring care professional without undue delay, to add the Patient to a transplant list.
 
 or
 
 - the person death date.
 
 In the event that a Patient is booked into the wrong clinic and needs to be re-referred to the right one, this will not end the Referral to Treatment Period or restart it. The start of the Referral to Treatment Period is still the original referral request received date."	date and time-related information			
GE:rttperstart	REFERRAL TO TREATMENT- RTT period start date	Patient Pathway	"The Start Date of a Referral to Treatment Period.
 A referral to treatment period start date will be one of the following:
 -Initial Referral:
 - the referral request received date of a service request for a particular condition.
 - This will include a patient being re-referred in to a Consultant Led Service or an Interface Service or an NHS Allied Health Professional Service (Referral To Treatment Measurement) as a new referral including after a Discharge After Patient Did Not Attend. The referral to treatment period status is 'National Code 10 - first activity'
 -Following an appointment that the patient did not attend:
 - the appointment accepted date (or the invitation offer date sent of the first appointment offer where the appointment offer is sent) for the first appointment following the patient not attending an appointment or elective admission. See referral to treatment period and Discharge After Patient Did Not Attend for guidance on patients who do not attend
 - The appointment date of the appointment that the Patient did not attend should be used where it is not possible to identify the appointment accepted date or the invitation offer date sent. The Referral to Treatment Period Status is 'National Code 10 - first activity'
 -Following active monitoring:
 - the activity date of a care activity when a decision to treat was made following Active Monitoring and the Referral to Treatment Period Status is 'National Code 11 - active monitoring end'
 - This will include a decision to start a substantively new or different treatment that does not already form part of that Patient's agreed care plan.
 -On identifying a separate condition:
 - the referral request received date of a service request when a decision has been made to refer the Patient directly to a Consultant Led Service or an NHS Allied Health Professional Service (Referral To Treatment Measurement) for a separate condition (the Referral to Treatment Period status for the first care activity with the new consultant or NHS Allied Health Professional Service (Referral To Treatment Measurement) is 'National Code 12 - consultant or NHS Allied Health Professional Service (Referral To Treatment) referral').
 Referral to Treatment Consultant Led Waiting Times:
 For most Patients, the start of the Referral to Treatment Period begins with a service request from a General Medical Practitioner to a Consultant.
 Service requests to consultants who provide care services in community settings also start referral to treatment periods and the referral request received date will be the start of the referral to treatment period.
 A referral to treatment period may also start from service requests to consultants from general dental practitioners, Practitioners with Special Interests, optometrists and Orthoptists, National Screening Programmes, specialist nurses, other care professionals where commissioning Organisations have approved these mechanisms locally. An 18-week clock also starts upon a self-referral by a Patient to the above services, where these pathways have been agreed locally by commissioners and providers and once the referral is ratified by a care professional.
 A Referral to Treatment Period will also start where Patients are transferred to an elective Consultant Led Service through service requests from Accident and Emergency Departments including Minor injuries units and Walk In Centres.|The Start Date of a Referral to Treatment Period.
 
 A referral to treatment period start date will be one of the following:
 
 ‚Äö√Ñ¬¢Initial Referral:
 
 ‚Äö√Ñ¬¢ the referral request received date of a service request for a particular condition.
 
 ‚Äö√Ñ¬¢ This will include a patient being re-referred in to a Consultant Led Service or an Interface Service or an NHS Allied Health Professional Service (Referral To Treatment Measurement) as a new referral including after a Discharge After Patient Did Not Attend. The referral to treatment period status is 'National Code 10 - first activity'
 
 ‚Äö√Ñ¬¢Following an appointment that the patient did not attend:
 
 ‚Äö√Ñ¬¢ the appointment accepted date (or the invitation offer date sent of the first appointment offer where the appointment offer is sent) for the first appointment following the patient not attending an appointment or elective admission. See referral to treatment period and Discharge After Patient Did Not Attend for guidance on patients who do not attend
 
 ‚Äö√Ñ¬¢ The appointment date of the appointment that the Patient did not attend should be used where it is not possible to identify the appointment accepted date or the invitation offer date sent. The Referral to Treatment Period Status is 'National Code 10 - first activity'
 
 ‚Äö√Ñ¬¢Following active monitoring:
 
 ‚Äö√Ñ¬¢ the activity date of a care activity when a decision to treat was made following Active Monitoring and the Referral to Treatment Period Status is 'National Code 11 - active monitoring end'
 
 ‚Äö√Ñ¬¢ This will include a decision to start a substantively new or different treatment that does not already form part of that Patient's agreed care plan.
 
 ‚Äö√Ñ¬¢On identifying a separate condition:
 
 ‚Äö√Ñ¬¢ the referral request received date of a service request when a decision has been made to refer the Patient directly to a Consultant Led Service or an NHS Allied Health Professional Service (Referral To Treatment Measurement) for a separate condition (the Referral to Treatment Period status for the first care activity with the new consultant or NHS Allied Health Professional Service (Referral To Treatment Measurement) is 'National Code 12 - consultant or NHS Allied Health Professional Service (Referral To Treatment) referral'). 
 
 Referral to Treatment Consultant Led Waiting Times:
 
 For most Patients, the start of the Referral to Treatment Period begins with a service request from a General Medical Practitioner to a Consultant.
 
 Service requests to consultants who provide care services in community settings also start referral to treatment periods and the referral request received date will be the start of the referral to treatment period.
 
 A referral to treatment period may also start from service requests to consultants from general dental practitioners, Practitioners with Special Interests, optometrists and Orthoptists, National Screening Programmes, specialist nurses, other care professionals where commissioning Organisations have approved these mechanisms locally.
 
 An 18-week clock also starts upon a self-referral by a Patient to the above services, where these pathways have been agreed locally by commissioners and providers and once the referral is ratified by a care professional.
 
 A Referral to Treatment Period will also start where Patients are transferred to an elective Consultant Led Service through service requests from Accident and Emergency Departments including Minor injuries units and Walk In Centres."	date and time-related information			
GE:rttperstat	RTT period status	Patient Pathway	The status of an activity, or anticipated activity, for the referral to treatment period.	survey administration			
GE:waitdays	Duration of wait (referral to treatment period)	Patient Pathway|Appointments	This field is derived in HES to calculate the number of days that a patient waited in a referral to treatment period - this is the difference between the Referral to Treatment Start Date (RTTPERSTART) and Referral to Treatment End Date (RTTPEREND).	date and time-related information			
GE:did_patsource_code	Patient Source Setting		Categorises the type of department or organisation making the referral for imaging activity. Codes returned are as per those submitted. Valid Codes are: 01, 02, 03, 04, 05, 06 and 07.Supplied value should match one of the permitted nationally defined codes (and include the leading zero) to be valid. If the code is wrong, or the leading zero dropped, the record would not be accepted in system.Patient Source Setting is a mandatory field and must be populated.	survey administration			
GE:ic_patsource_desc	Patient Source Setting Description	Patient Source Setting	Descriptive field, taken from submitted Patient Source Setting code and converted into one of the following groups: 01 Admitted Patient Care - Inpatient (this Health Care Provider), 02 Admitted Patient Care - Day case (this Health Care Provider) ,03 Out-patient (this Health Care Provider) ,04 GP Direct Access, 05 Accident and Emergency Department (this Health Care Provider), 06 Other Health Care Provider, 07 Other	survey administration			
GE:post_operative_q2	Post-Operative (Q2)						
GE:q2_activity	PostOp3	Post-Operative (Q2)	Response to third of the EQ-5D questions Corresponding Q2 general health question: Usual activities? Rates the patient's self-perceived ability to perform usual activities	signs and symptoms			
GE:q2_allergy	q2_allergy	Post-Operative (Q2)	Indicates any drug allergies after the operation. Corresponding Q2 general health question: Did you experience any of the following problems after your operation: Allergy or reaction to drug?	drug response(s)			
GE:q2_anxiety	PostOp5	Post-Operative (Q2)	Response to fifth of the EQ-5D questions Corresponding Q2 general health question: Anxiety/Depression? Rates the patient's self-perceived level of Anxiety/Depression	mental and behaviour disorders			
GE:q2_assisted	q2_assisted	Post-Operative (Q2)	Indicates whether the patient received any assistance in the completion of the questionnaire. Corresponding Q2 General question: Is anyone helping you fill in this questionnaire?	survey administration			
GE:q2_assisted_by	q2_assisted_by	Post-Operative (Q2)	Indicates the relationship of the patient with the person assisting in the completion of the questionnaire. Corresponding Q2 General question: If the answer is yes, please give the relationship to you of the person assisting you	survey administration			
GE:q2_bleeding	q2_bleeding	Post-Operative (Q2)		signs and symptoms			
GE:q2_complete	q2_complete	Post-Operative (Q2)	Indicates whether questionnaire 2 is complete	survey administration			
GE:q2_completed_date	q2_completed_date	Post-Operative (Q2)	Date on which questionnaire was completed Corresponding Q1 general health question: Today's Date Completed date is equal to the date entered for this question. If the completed date question is blank or invalid the scan date is used for subsequent analysis.	date and time-related information			
GE:q2_disability	q2_disability	Post-Operative (Q2)	Response to corresponding Q1 general health question: Do you consider yourself to have a disability?	signs and symptoms			
GE:q2_discomfort	PostOp4	Post-Operative (Q2)	Response to fourth of the EQ-5D questions Corresponding Q1 general health question: Pain/Discomfort? Rates the patient's self-perceived pain/discomfort	signs and symptoms			
GE:q2_eq5d_health_scale	q2_eq5d_health_scale	Post-Operative (Q2)	Indicates how well the patient rates themselves to be feeling on the day of completing questionnaire 2 on a scale of 0-100 (0 being worst, and 100 being best)	signs and symptoms			
GE:q2_eq5d_index	q2_eq5d_index	Post-Operative (Q2)	EQ-5D Index score derived from the EQ-5D profile. 11111= 1. For every 2 or 3 present a fraction is deducted, the lower the score the worse the patient reports on the EQ-5D questions	survey administration			
GE:q2_eq5d_profile	q2_eq5d_profile	Post-Operative (Q2)	EQ-5D Profile lists the responses to the EQ-5D questions	survey administration			
GE:q2_eq5d_profile_complete	q2_eq5d_profile_complete	Post-Operative (Q2)	Indicates whether the patient completed the EQ-5D questions of questionnaire 2	survey administration			
GE:q2_eq5d_scale_complete	q2_eq5d_scale_complete	Post-Operative (Q2)	Indicates whether the patient completed the health scale section of questionnaire 2	survey administration			
GE:q2_form_version	q2_form_version	Post-Operative (Q2)	Questionnaire 2 form version	survey administration			
GE:q2_general_health	q2_general_health	Post-Operative (Q2)	Response to corresponding Q1 general health question: In general would you say your health is?	signs and symptoms			
GE:q2_language	q2_language	Post-Operative (Q2)	Language in which Questionnaire 1 was administered	survey administration			
GE:q2_living_arrangements	q2_living_arrangements	Post-Operative (Q2)	Response to corresponding Q1 general health question: Which statement best describes your living arrangements?	family and household structure			
GE:q2_mobility	q2_mobility	Post-Operative (Q2)	Response to first of the EQ-5D questions Corresponding Q1 general health question: Mobility? Rates the patient's self-perceived mobility	signs and symptoms			
GE:q2_readmitted	q2_readmitted	Post-Operative (Q2)		survey administration			
GE:q2_received_date	q2_received_date	Post-Operative (Q2)		date and time-related information			
GE:q2_satisfaction	q2_satisfaction	Post-Operative (Q2)		signs and symptoms			
